Serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
El Salvador,-0.25181010579598956,-0.49492358827855704,13.99839159888503,2.0,0.3458836161524194,-0.009692683133836887,0.8899521531100478,31.0,0.020833333333333336,3.0,0.3779736872224597,1.0,0.038461538461538464,0.7666666666666666,0.30952380952380953,0.8476607309450545,5.0,1.803352119371521,0.14285714285714285,0.8571428571428571,0.07363107781851563,0.5373454360367647
Estados Unidos de América,-0.6181393129099867,-0.3611374438285113,9.264621782573998,2.0,0.25603691245698973,0.01951389474119832,0.9090909090909091,12.0,0.020833333333333336,5.0,0.26559173260788094,1.0,0.038461538461538464,0.8285714285714285,0.32380952380952377,0.7240488336766203,5.0,1.9810114943605774,0.16666666666666666,0.7380952380952381,0.0981747704246875,0.7369737989635692
Honduras,-0.17697055086700852,-0.39527545773087147,18.242107929577795,8.0,0.4525113362978307,-0.09346329447182002,0.8708133971291866,39.0,0.05555555555555555,8.0,0.1668158512066182,7.0,0.029411764705882353,0.7523809523809524,0.319047619047619,0.8658805273699975,5.0,1.7968151383927498,0.8571428571428571,0.7380952380952381,0.04908738521234375,0.4741886906037822
América Del Centro,-0.5556076270164001,-0.5556076270164001,8.348637756869092,10.0,0.45690901032995884,-0.13998432523002632,0.9090909090909091,42.0,0.005509641873278237,11.0,0.2436259266060217,9.0,0.05555555555555555,0.21904761904761916,0.319047619047619,0.8311181725170975,6.0,1.7887836630612224,0.7619047619047619,0.8571428571428571,0.14726215563703127,0.6248873260584511
América Del Norte,0.2756967834296826,-0.5421666597206648,9.134473389659236,2.0,0.25304106396141807,-0.01648268142326032,0.9521531100478469,12.0,0.037037037037037035,3.0,0.2871104543947924,1.0,0.045454545454545456,0.8285714285714285,0.32380952380952377,0.7405953972228575,5.0,2.0104772698749045,0.16666666666666666,0.7380952380952381,0.0981747704246875,0.7215771582457201
Europa,0.24065014947845476,-0.013271327706986913,4.522683864778359,2.0,0.33679993874129,0.05831489954650698,0.9186602870813397,8.0,0.013888888888888888,7.0,0.22623401702417625,1.0,0.058823529411764705,0.7380952380952381,0.33333333333333326,0.7666950820392291,6.0,2.044770724339419,0.14285714285714285,0.7380952380952381,0.17180584824320314,0.7737835979737555
